,instant_x,dteday,season,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday,weathersit,temp,atemp_x,hum,windspeed,casual,registered,cnt,weather_name_x,time_category,instant_y,yr_y,mnth_y,holiday_y,weekday_y,atemp_y,season_name,weather_name_y,mnth_name,demand_category,weekday_name
40,41.0,2011-01-02,1,0.0,1.0,17.0,0.0,0.0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Cerah,Sore,,,,,,,,,,,
41,42.0,2011-01-02,1,0.0,1.0,18.0,0.0,0.0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Berkabut,Sore,,,,,,,,,,,
42,43.0,2011-01-02,1,0.0,1.0,19.0,0.0,0.0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Cerah,Sore,,,,,,,,,,,
43,44.0,2011-01-02,1,0.0,1.0,20.0,0.0,0.0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Cerah,Sore,,,,,,,,,,,
44,45.0,2011-01-02,1,0.0,1.0,21.0,0.0,0.0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Cerah,Malam,,,,,,,,,,,
45,46.0,2011-01-02,1,0.0,1.0,22.0,0.0,0.0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Cerah,Malam,,,,,,,,,,,
46,47.0,2011-01-02,1,0.0,1.0,23.0,0.0,0.0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Cerah,Malam,,,,,,,,,,,
47,48.0,2011-01-03,1,0.0,1.0,0.0,0.0,1.0,1,1,0.22,0.197,0.44,0.3582,0,5,5,Cerah,Dini Hari,,,,,,,,,,,
48,49.0,2011-01-03,1,0.0,1.0,1.0,0.0,1.0,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Cerah,Dini Hari,,,,,,,,,,,
49,50.0,2011-01-03,1,0.0,1.0,4.0,0.0,1.0,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Cerah,Dini Hari,,,,,,,,,,,
50,51.0,2011-01-03,1,0.0,1.0,5.0,0.0,1.0,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Cerah,Dini Hari,,,,,,,,,,,
51,52.0,2011-01-03,1,0.0,1.0,6.0,0.0,1.0,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Cerah,Dini Hari,,,,,,,,,,,
52,53.0,2011-01-03,1,0.0,1.0,7.0,0.0,1.0,1,1,0.14,0.1364,0.5,0.194,1,63,64,Cerah,Pagi,,,,,,,,,,,
53,54.0,2011-01-03,1,0.0,1.0,8.0,0.0,1.0,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Cerah,Pagi,,,,,,,,,,,
54,55.0,2011-01-03,1,0.0,1.0,9.0,0.0,1.0,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Cerah,Pagi,,,,,,,,,,,
55,56.0,2011-01-03,1,0.0,1.0,10.0,0.0,1.0,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Cerah,Pagi,,,,,,,,,,,
56,57.0,2011-01-03,1,0.0,1.0,11.0,0.0,1.0,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Cerah,Siang,,,,,,,,,,,
57,58.0,2011-01-03,1,0.0,1.0,12.0,0.0,1.0,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Cerah,Siang,,,,,,,,,,,
58,59.0,2011-01-03,1,0.0,1.0,13.0,0.0,1.0,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Cerah,Siang,,,,,,,,,,,
59,60.0,2011-01-03,1,0.0,1.0,14.0,0.0,1.0,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Cerah,Siang,,,,,,,,,,,
60,61.0,2011-01-03,1,0.0,1.0,15.0,0.0,1.0,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Cerah,Siang,,,,,,,,,,,
61,62.0,2011-01-03,1,0.0,1.0,16.0,0.0,1.0,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Cerah,Siang,,,,,,,,,,,
62,63.0,2011-01-03,1,0.0,1.0,17.0,0.0,1.0,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Cerah,Sore,,,,,,,,,,,
63,64.0,2011-01-03,1,0.0,1.0,18.0,0.0,1.0,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Cerah,Sore,,,,,,,,,,,
64,65.0,2011-01-03,1,0.0,1.0,19.0,0.0,1.0,1,1,0.2,0.2576,0.47,0.0,8,102,110,Cerah,Sore,,,,,,,,,,,
65,66.0,2011-01-03,1,0.0,1.0,20.0,0.0,1.0,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Cerah,Sore,,,,,,,,,,,
66,67.0,2011-01-03,1,0.0,1.0,21.0,0.0,1.0,1,1,0.18,0.197,0.64,0.1343,3,49,52,Cerah,Malam,,,,,,,,,,,
67,68.0,2011-01-03,1,0.0,1.0,22.0,0.0,1.0,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Cerah,Malam,,,,,,,,,,,
68,69.0,2011-01-03,1,0.0,1.0,23.0,0.0,1.0,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Cerah,Malam,,,,,,,,,,,
69,70.0,2011-01-04,1,0.0,1.0,0.0,0.0,2.0,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Cerah,Dini Hari,,,,,,,,,,,
70,71.0,2011-01-04,1,0.0,1.0,1.0,0.0,2.0,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Cerah,Dini Hari,,,,,,,,,,,
71,72.0,2011-01-04,1,0.0,1.0,2.0,0.0,2.0,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Cerah,Dini Hari,,,,,,,,,,,
72,73.0,2011-01-04,1,0.0,1.0,4.0,0.0,2.0,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Cerah,Dini Hari,,,,,,,,,,,
73,74.0,2011-01-04,1,0.0,1.0,5.0,0.0,2.0,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Cerah,Dini Hari,,,,,,,,,,,
74,75.0,2011-01-04,1,0.0,1.0,6.0,0.0,2.0,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Cerah,Dini Hari,,,,,,,,,,,
75,76.0,2011-01-04,1,0.0,1.0,7.0,0.0,2.0,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Cerah,Pagi,,,,,,,,,,,
76,77.0,2011-01-04,1,0.0,1.0,8.0,0.0,2.0,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Cerah,Pagi,,,,,,,,,,,
77,78.0,2011-01-04,1,0.0,1.0,9.0,0.0,2.0,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Cerah,Pagi,,,,,,,,,,,
78,79.0,2011-01-04,1,0.0,1.0,10.0,0.0,2.0,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Berkabut,Pagi,,,,,,,,,,,
79,80.0,2011-01-04,1,0.0,1.0,11.0,0.0,2.0,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Cerah,Siang,,,,,,,,,,,
80,81.0,2011-01-04,1,0.0,1.0,12.0,0.0,2.0,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Cerah,Siang,,,,,,,,,,,
81,82.0,2011-01-04,1,0.0,1.0,13.0,0.0,2.0,1,1,0.24,0.2273,0.56,0.194,18,79,97,Cerah,Siang,,,,,,,,,,,
82,83.0,2011-01-04,1,0.0,1.0,14.0,0.0,2.0,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Cerah,Siang,,,,,,,,,,,
83,84.0,2011-01-04,1,0.0,1.0,15.0,0.0,2.0,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Cerah,Siang,,,,,,,,,,,
84,85.0,2011-01-04,1,0.0,1.0,16.0,0.0,2.0,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Cerah,Siang,,,,,,,,,,,
85,86.0,2011-01-04,1,0.0,1.0,17.0,0.0,2.0,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Cerah,Sore,,,,,,,,,,,
86,87.0,2011-01-04,1,0.0,1.0,18.0,0.0,2.0,1,1,0.26,0.2576,0.48,0.194,3,179,182,Cerah,Sore,,,,,,,,,,,
87,88.0,2011-01-04,1,0.0,1.0,19.0,0.0,2.0,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Cerah,Sore,,,,,,,,,,,
88,89.0,2011-01-04,1,0.0,1.0,20.0,0.0,2.0,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Cerah,Sore,,,,,,,,,,,
89,90.0,2011-01-04,1,0.0,1.0,21.0,0.0,2.0,1,1,0.22,0.2727,0.64,0.0,0,48,48,Cerah,Malam,,,,,,,,,,,
90,91.0,2011-01-04,1,0.0,1.0,22.0,0.0,2.0,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Cerah,Malam,,,,,,,,,,,
91,92.0,2011-01-04,1,0.0,1.0,23.0,0.0,2.0,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Cerah,Malam,,,,,,,,,,,
92,93.0,2011-01-05,1,0.0,1.0,0.0,0.0,3.0,1,1,0.2,0.2576,0.64,0.0,0,6,6,Cerah,Dini Hari,,,,,,,,,,,
93,94.0,2011-01-05,1,0.0,1.0,1.0,0.0,3.0,1,1,0.16,0.197,0.74,0.0896,0,6,6,Cerah,Dini Hari,,,,,,,,,,,
94,95.0,2011-01-05,1,0.0,1.0,2.0,0.0,3.0,1,1,0.16,0.197,0.74,0.0896,0,2,2,Cerah,Dini Hari,,,,,,,,,,,
95,96.0,2011-01-05,1,0.0,1.0,4.0,0.0,3.0,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Cerah,Dini Hari,,,,,,,,,,,
96,97.0,2011-01-05,1,0.0,1.0,5.0,0.0,3.0,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Cerah,Dini Hari,,,,,,,,,,,
97,98.0,2011-01-05,1,0.0,1.0,6.0,0.0,3.0,1,1,0.2,0.197,0.47,0.2239,0,33,33,Cerah,Dini Hari,,,,,,,,,,,
98,99.0,2011-01-05,1,0.0,1.0,7.0,0.0,3.0,1,1,0.18,0.1818,0.43,0.194,1,87,88,Cerah,Pagi,,,,,,,,,,,
99,100.0,2011-01-05,1,0.0,1.0,8.0,0.0,3.0,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Cerah,Pagi,,,,,,,,,,,
100,101.0,2011-01-05,1,0.0,1.0,9.0,0.0,3.0,1,1,0.22,0.197,0.37,0.3284,6,109,115,Cerah,Pagi,,,,,,,,,,,
101,102.0,2011-01-05,1,0.0,1.0,10.0,0.0,3.0,1,1,0.22,0.197,0.37,0.3284,4,53,57,Cerah,Pagi,,,,,,,,,,,
102,103.0,2011-01-05,1,0.0,1.0,11.0,0.0,3.0,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Cerah,Siang,,,,,,,,,,,
103,104.0,2011-01-05,1,0.0,1.0,12.0,0.0,3.0,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Cerah,Siang,,,,,,,,,,,
104,105.0,2011-01-05,1,0.0,1.0,13.0,0.0,3.0,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Cerah,Siang,,,,,,,,,,,
105,106.0,2011-01-05,1,0.0,1.0,14.0,0.0,3.0,1,1,0.3,0.2879,0.28,0.194,10,52,62,Cerah,Siang,,,,,,,,,,,
106,107.0,2011-01-05,1,0.0,1.0,15.0,0.0,3.0,1,1,0.3,0.2879,0.28,0.194,7,55,62,Cerah,Siang,,,,,,,,,,,
107,108.0,2011-01-05,1,0.0,1.0,16.0,0.0,3.0,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Cerah,Siang,,,,,,,,,,,
108,109.0,2011-01-05,1,0.0,1.0,17.0,0.0,3.0,1,1,0.24,0.2273,0.38,0.194,4,186,190,Cerah,Sore,,,,,,,,,,,
109,110.0,2011-01-05,1,0.0,1.0,18.0,0.0,3.0,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Cerah,Sore,,,,,,,,,,,
110,111.0,2011-01-05,1,0.0,1.0,19.0,0.0,3.0,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Cerah,Sore,,,,,,,,,,,
111,112.0,2011-01-05,1,0.0,1.0,20.0,0.0,3.0,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Cerah,Sore,,,,,,,,,,,
112,113.0,2011-01-05,1,0.0,1.0,21.0,0.0,3.0,1,1,0.2,0.197,0.51,0.194,3,40,43,Cerah,Malam,,,,,,,,,,,
113,114.0,2011-01-05,1,0.0,1.0,22.0,0.0,3.0,1,1,0.18,0.197,0.55,0.1343,1,41,42,Cerah,Malam,,,,,,,,,,,
114,115.0,2011-01-05,1,0.0,1.0,23.0,0.0,3.0,1,1,0.2,0.2576,0.47,0.0,1,18,19,Cerah,Malam,,,,,,,,,,,
115,116.0,2011-01-06,1,0.0,1.0,0.0,0.0,4.0,1,1,0.18,0.2424,0.55,0.0,0,11,11,Cerah,Dini Hari,,,,,,,,,,,
116,117.0,2011-01-06,1,0.0,1.0,1.0,0.0,4.0,1,1,0.16,0.2273,0.64,0.0,0,4,4,Cerah,Dini Hari,,,,,,,,,,,
117,118.0,2011-01-06,1,0.0,1.0,2.0,0.0,4.0,1,1,0.16,0.2273,0.64,0.0,0,2,2,Cerah,Dini Hari,,,,,,,,,,,
118,119.0,2011-01-06,1,0.0,1.0,4.0,0.0,4.0,1,2,0.16,0.197,0.64,0.0896,0,1,1,Berkabut,Dini Hari,,,,,,,,,,,
119,120.0,2011-01-06,1,0.0,1.0,5.0,0.0,4.0,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Berkabut,Dini Hari,,,,,,,,,,,
120,121.0,2011-01-06,1,0.0,1.0,6.0,0.0,4.0,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Berkabut,Dini Hari,,,,,,,,,,,
121,122.0,2011-01-06,1,0.0,1.0,7.0,0.0,4.0,1,2,0.16,0.2273,0.59,0.0,0,95,95,Berkabut,Pagi,,,,,,,,,,,
122,123.0,2011-01-06,1,0.0,1.0,8.0,0.0,4.0,1,1,0.16,0.2273,0.59,0.0,3,216,219,Cerah,Pagi,,,,,,,,,,,
123,124.0,2011-01-06,1,0.0,1.0,9.0,0.0,4.0,1,2,0.18,0.2424,0.51,0.0,6,116,122,Berkabut,Pagi,,,,,,,,,,,
124,125.0,2011-01-06,1,0.0,1.0,10.0,0.0,4.0,1,1,0.2,0.2576,0.47,0.0,3,42,45,Cerah,Pagi,,,,,,,,,,,
125,126.0,2011-01-06,1,0.0,1.0,11.0,0.0,4.0,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Cerah,Siang,,,,,,,,,,,
126,127.0,2011-01-06,1,0.0,1.0,12.0,0.0,4.0,1,1,0.26,0.2879,0.35,0.0,6,78,84,Cerah,Siang,,,,,,,,,,,
127,128.0,2011-01-06,1,0.0,1.0,13.0,0.0,4.0,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Cerah,Siang,,,,,,,,,,,
128,129.0,2011-01-06,1,0.0,1.0,14.0,0.0,4.0,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Cerah,Siang,,,,,,,,,,,
129,130.0,2011-01-06,1,0.0,1.0,15.0,0.0,4.0,1,1,0.28,0.2727,0.36,0.0,8,54,62,Cerah,Siang,,,,,,,,,,,
130,131.0,2011-01-06,1,0.0,1.0,16.0,0.0,4.0,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Cerah,Siang,,,,,,,,,,,
131,132.0,2011-01-06,1,0.0,1.0,17.0,0.0,4.0,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Cerah,Sore,,,,,,,,,,,
132,133.0,2011-01-06,1,0.0,1.0,18.0,0.0,4.0,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Cerah,Sore,,,,,,,,,,,
133,134.0,2011-01-06,1,0.0,1.0,19.0,0.0,4.0,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Cerah,Sore,,,,,,,,,,,
134,135.0,2011-01-06,1,0.0,1.0,20.0,0.0,4.0,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Cerah,Sore,,,,,,,,,,,
135,136.0,2011-01-06,1,0.0,1.0,21.0,0.0,4.0,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Berkabut,Malam,,,,,,,,,,,
136,137.0,2011-01-06,1,0.0,1.0,22.0,0.0,4.0,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Berkabut,Malam,,,,,,,,,,,
137,138.0,2011-01-06,1,0.0,1.0,23.0,0.0,4.0,1,2,0.2,0.197,0.59,0.194,4,19,23,Berkabut,Malam,,,,,,,,,,,
138,139.0,2011-01-07,1,0.0,1.0,0.0,0.0,5.0,1,2,0.2,0.197,0.64,0.194,4,13,17,Berkabut,Dini Hari,,,,,,,,,,,
139,140.0,2011-01-07,1,0.0,1.0,1.0,0.0,5.0,1,2,0.2,0.197,0.69,0.2239,2,5,7,Berkabut,Dini Hari,,,,,,,,,,,
140,141.0,2011-01-07,1,0.0,1.0,2.0,0.0,5.0,1,2,0.2,0.197,0.69,0.2239,0,1,1,Berkabut,Dini Hari,,,,,,,,,,,
141,142.0,2011-01-07,1,0.0,1.0,4.0,0.0,5.0,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Berkabut,Dini Hari,,,,,,,,,,,
142,143.0,2011-01-07,1,0.0,1.0,5.0,0.0,5.0,1,3,0.22,0.2727,0.55,0.0,0,5,5,Hujan Ringan,Dini Hari,,,,,,,,,,,
143,144.0,2011-01-07,1,0.0,1.0,6.0,0.0,5.0,1,2,0.2,0.2576,0.69,0.0,8,26,34,Berkabut,Dini Hari,,,,,,,,,,,
144,145.0,2011-01-07,1,0.0,1.0,7.0,0.0,5.0,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Cerah,Pagi,,,,,,,,,,,
145,146.0,2011-01-07,1,0.0,1.0,8.0,0.0,5.0,1,1,0.2,0.197,0.51,0.2537,20,190,210,Cerah,Pagi,,,,,,,,,,,
146,147.0,2011-01-07,1,0.0,1.0,9.0,0.0,5.0,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Cerah,Pagi,,,,,,,,,,,
147,148.0,2011-01-07,1,0.0,1.0,10.0,0.0,5.0,1,1,0.22,0.197,0.37,0.3284,16,47,63,Cerah,Pagi,,,,,,,,,,,
148,149.0,2011-01-07,1,0.0,1.0,11.0,0.0,5.0,1,2,0.2,0.197,0.4,0.2239,19,48,67,Berkabut,Siang,,,,,,,,,,,
149,150.0,2011-01-07,1,0.0,1.0,12.0,0.0,5.0,1,2,0.2,0.197,0.37,0.2537,9,50,59,Berkabut,Siang,,,,,,,,,,,
150,151.0,2011-01-07,1,0.0,1.0,13.0,0.0,5.0,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Berkabut,Siang,,,,,,,,,,,
151,152.0,2011-01-07,1,0.0,1.0,14.0,0.0,5.0,1,2,0.2,0.197,0.4,0.2537,7,43,50,Berkabut,Siang,,,,,,,,,,,
152,153.0,2011-01-07,1,0.0,1.0,15.0,0.0,5.0,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Berkabut,Siang,,,,,,,,,,,
153,154.0,2011-01-07,1,0.0,1.0,16.0,0.0,5.0,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Berkabut,Siang,,,,,,,,,,,
154,155.0,2011-01-07,1,0.0,1.0,17.0,0.0,5.0,1,2,0.2,0.2576,0.37,0.0,9,178,187,Berkabut,Sore,,,,,,,,,,,
155,156.0,2011-01-07,1,0.0,1.0,18.0,0.0,5.0,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Cerah,Sore,,,,,,,,,,,
156,157.0,2011-01-07,1,0.0,1.0,19.0,0.0,5.0,1,1,0.16,0.197,0.55,0.0896,3,92,95,Cerah,Sore,,,,,,,,,,,
157,158.0,2011-01-07,1,0.0,1.0,20.0,0.0,5.0,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Cerah,Sore,,,,,,,,,,,
158,159.0,2011-01-07,1,0.0,1.0,21.0,0.0,5.0,1,1,0.18,0.197,0.47,0.1343,0,39,39,Cerah,Malam,,,,,,,,,,,
159,160.0,2011-01-07,1,0.0,1.0,22.0,0.0,5.0,1,2,0.18,0.197,0.43,0.1642,2,34,36,Berkabut,Malam,,,,,,,,,,,
160,161.0,2011-01-07,1,0.0,1.0,23.0,0.0,5.0,1,2,0.18,0.197,0.51,0.1642,1,14,15,Berkabut,Malam,,,,,,,,,,,
161,162.0,2011-01-08,1,0.0,1.0,0.0,0.0,6.0,0,2,0.18,0.197,0.51,0.1642,1,24,25,Berkabut,Dini Hari,,,,,,,,,,,
162,163.0,2011-01-08,1,0.0,1.0,1.0,0.0,6.0,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Berkabut,Dini Hari,,,,,,,,,,,
